Name,Type,Location,Reservation,Coat Check,Cover,Price,Stars,Link,Reviews,Business Hours,Number of Reviews
Earls Kitchen + Bar,,800 Boylston Ave,,,,$$,3.9,https://www.yelp.com/biz/earls-kitchen-bar-boston-2?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:30 AM - 11:00 PM; Tuesday: 11:30 AM - 11:00 PM; Wednesday: 11:30 AM - 12:00 AM; Thursday: 11:30 AM - 12:00 AM; Friday: 11:30 AM - 12:00 AM; Saturday: 12:00 AM - 01:00 AM; Saturday: 10:00 AM - 12:00 AM; Sunday: 12:00 AM - 01:00 AM; Sunday: 10:00 AM - 11:00 PM,0
Neptune Oyster,,63 Salem St,,,,$$$,4.3,https://www.yelp.com/biz/neptune-oyster-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 09:30 PM; Tuesday: 11:00 AM - 09:30 PM; Wednesday: 11:00 AM - 09:30 PM; Thursday: 11:00 AM - 09:30 PM; Friday: 11:00 AM - 10:30 PM; Saturday: 11:00 AM - 10:30 PM; Sunday: 11:00 AM - 09:30 PM,0
The Salty Pig,,130 Dartmouth St,,,,$$,4.2,https://www.yelp.com/biz/the-salty-pig-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:30 AM - 10:00 PM; Tuesday: 11:30 AM - 10:00 PM; Wednesday: 11:30 AM - 10:00 PM; Thursday: 11:30 AM - 10:00 PM; Friday: 11:30 AM - 10:30 PM; Saturday: 11:30 AM - 10:30 PM; Sunday: 11:30 AM - 10:00 PM,0
Trattoria Il Panino,,11 Parmenter St,,,,$$,3.9,https://www.yelp.com/biz/trattoria-il-panino-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 11:00 PM; Tuesday: 11:00 AM - 11:00 PM; Wednesday: 11:00 AM - 11:00 PM; Thursday: 11:00 AM - 11:00 PM; Friday: 11:00 AM - 02:00 AM; Saturday: 11:00 AM - 02:00 AM; Sunday: 11:00 AM - 11:00 PM,0
Mamma Maria,,3 North Sq,,,,$$$,4.3,https://www.yelp.com/biz/mamma-maria-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 05:00 PM - 09:15 PM; Tuesday: 05:00 PM - 09:15 PM; Wednesday: 05:00 PM - 09:15 PM; Thursday: 05:00 PM - 09:15 PM; Friday: 04:30 PM - 09:30 PM; Saturday: 04:30 PM - 09:30 PM; Sunday: 04:30 PM - 09:30 PM,0
Hobgoblin Bar,,48 Temple Pl,,,,,3.8,https://www.yelp.com/biz/hobgoblin-bar-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 03:00 PM - 12:00 AM; Tuesday: 03:00 PM - 12:00 AM; Wednesday: 03:00 PM - 12:00 AM; Thursday: 03:00 PM - 01:00 AM; Friday: 03:00 PM - 02:00 AM; Saturday: 03:00 PM - 02:00 AM; Sunday: 03:00 PM - 12:00 AM,0
Moonshine 152,,152 Dorchester Ave,,,,$$,4.4,https://www.yelp.com/biz/moonshine-152-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Tuesday: 05:00 PM - 10:00 PM; Wednesday: 05:00 PM - 10:00 PM; Thursday: 05:00 PM - 10:00 PM; Friday: 05:00 PM - 11:00 PM; Saturday: 11:30 AM - 11:00 PM; Sunday: 11:30 AM - 10:00 PM,0
Flour Bakery + Café,,12 Farnsworth St,,,,$$,4.3,https://www.yelp.com/biz/flour-bakery-caf%C3%A9-boston-4?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 07:00 AM - 07:00 PM; Tuesday: 07:00 AM - 07:00 PM; Wednesday: 07:00 AM - 07:00 PM; Thursday: 07:00 AM - 07:00 PM; Friday: 07:00 AM - 07:00 PM; Saturday: 08:00 AM - 06:00 PM; Sunday: 08:00 AM - 06:00 PM,0
French Quarter,,545 Washington St,,,,$$,4.1,https://www.yelp.com/biz/french-quarter-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 05:00 PM - 09:00 PM; Tuesday: 05:00 PM - 09:00 PM; Wednesday: 05:00 PM - 09:00 PM; Thursday: 05:00 PM - 10:00 PM; Friday: 11:30 AM - 11:00 PM; Saturday: 11:30 AM - 11:00 PM; Sunday: 11:30 AM - 08:00 PM,0
Ma Maison,,272 Cambridge St,,,,$$,4.4,https://www.yelp.com/biz/ma-maison-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 10:00 PM; Tuesday: 11:00 AM - 10:00 PM; Wednesday: 11:00 AM - 10:00 PM; Thursday: 11:00 AM - 10:00 PM; Friday: 11:00 AM - 10:00 PM; Saturday: 11:00 AM - 10:00 PM; Sunday: 11:00 AM - 10:00 PM,0
Lucky's Lounge,,355 Congress St,,,,$$,3.7,https://www.yelp.com/biz/luckys-lounge-boston-2?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 04:00 PM - 02:00 AM; Tuesday: 04:00 PM - 02:00 AM; Wednesday: 04:00 PM - 02:00 AM; Thursday: 04:00 PM - 02:00 AM; Friday: 04:00 PM - 02:00 AM; Saturday: 04:00 PM - 02:00 AM,0
Boston Sail Loft,,80 Atlantic Ave,,,,$$,4.3,https://www.yelp.com/biz/boston-sail-loft-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:30 AM - 02:00 AM; Tuesday: 11:30 AM - 02:00 AM; Wednesday: 11:30 AM - 02:00 AM; Thursday: 11:30 AM - 02:00 AM; Friday: 11:30 AM - 02:00 AM; Saturday: 11:30 AM - 02:00 AM; Sunday: 11:30 AM - 02:00 AM,0
Comfort Kitchen,,611 Columbia Rd,,,,,4.5,https://www.yelp.com/biz/comfort-kitchen-dorchester?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Tuesday: 04:30 PM - 10:00 PM; Wednesday: 04:30 PM - 10:00 PM; Thursday: 04:30 PM - 10:00 PM; Friday: 04:30 PM - 10:00 PM; Saturday: 10:00 AM - 01:30 PM; Saturday: 04:30 PM - 10:00 PM; Sunday: 10:00 AM - 01:30 PM,0
SAVR,,150 Seaport Blvd,,,,$$$,4.2,https://www.yelp.com/biz/savr-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 11:00 PM; Tuesday: 11:00 AM - 11:00 PM; Wednesday: 11:00 AM - 11:00 PM; Thursday: 11:00 AM - 11:00 PM; Friday: 11:00 AM - 11:00 PM; Saturday: 11:00 AM - 11:00 PM; Sunday: 11:00 AM - 11:00 PM,0
Bostonia Public House,,131 State St,,,,$$$,4.2,https://www.yelp.com/biz/bostonia-public-house-boston-4?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:30 AM - 12:00 AM; Tuesday: 11:30 AM - 12:00 AM; Wednesday: 11:30 AM - 02:00 AM; Thursday: 11:30 AM - 02:00 AM; Friday: 11:30 AM - 02:00 AM; Saturday: 09:00 AM - 02:00 AM; Sunday: 09:00 AM - 12:00 AM,0
State Street Provisions,,255 State St,,,,$$,3.9,https://www.yelp.com/biz/state-street-provisions-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 11:00 PM; Tuesday: 11:00 AM - 12:00 AM; Wednesday: 11:00 AM - 12:00 AM; Thursday: 11:00 AM - 12:00 AM; Friday: 11:00 AM - 01:00 AM; Saturday: 10:00 AM - 01:00 AM; Sunday: 09:00 AM - 11:00 PM,0
Carmelina's,,307 Hanover St,,,,$$$,4.5,https://www.yelp.com/biz/carmelinas-boston-2?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:30 AM - 10:00 PM; Tuesday: 11:30 AM - 10:00 PM; Wednesday: 11:30 AM - 10:00 PM; Thursday: 11:30 AM - 10:00 PM; Friday: 11:30 AM - 10:00 PM; Saturday: 11:30 AM - 10:00 PM; Sunday: 11:30 AM - 10:00 PM,0
Isabella Ristorante,,2 Prince St,,,,$$,4.5,https://www.yelp.com/biz/isabella-ristorante-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 10:00 PM; Tuesday: 11:00 AM - 10:00 PM; Wednesday: 11:00 AM - 10:00 PM; Thursday: 11:00 AM - 10:00 PM; Friday: 11:00 AM - 10:00 PM; Saturday: 11:00 AM - 10:00 PM; Sunday: 11:00 AM - 10:00 PM,0
Al's State Street Cafe,,114 State St,,,,$,4.3,https://www.yelp.com/biz/als-state-street-cafe-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 10:30 AM - 03:00 PM; Tuesday: 10:30 AM - 03:00 PM; Wednesday: 10:30 AM - 03:00 PM; Thursday: 10:30 AM - 03:00 PM; Friday: 10:30 AM - 03:00 PM; Saturday: 10:30 AM - 04:00 PM,0
Saltie Girl,,279 Dartmouth St,,,,$$$,4.2,https://www.yelp.com/biz/saltie-girl-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 10:00 PM; Tuesday: 11:00 AM - 10:00 PM; Wednesday: 11:00 AM - 10:00 PM; Thursday: 11:00 AM - 11:00 PM; Friday: 11:00 AM - 11:00 PM; Saturday: 11:00 AM - 11:00 PM; Sunday: 11:00 AM - 09:00 PM,0
Happy Lamb Hot Pot,,693 Washington St,,,,$$$,4.1,https://www.yelp.com/biz/happy-lamb-hot-pot-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 12:00 PM - 10:00 PM; Tuesday: 12:00 PM - 10:00 PM; Wednesday: 12:00 PM - 10:00 PM; Thursday: 12:00 PM - 10:00 PM; Friday: 12:00 PM - 10:00 PM; Saturday: 12:00 PM - 10:00 PM; Sunday: 12:00 PM - 10:00 PM,0
Mo'Rockin Fusion,,100 Hanover St,,,,$,4.8,https://www.yelp.com/biz/morockin-fusion-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 05:30 PM; Tuesday: 11:00 AM - 05:30 PM; Wednesday: 11:00 AM - 07:30 PM; Thursday: 11:00 AM - 07:30 PM; Friday: 11:00 AM - 07:30 PM; Saturday: 11:00 AM - 07:30 PM; Sunday: 11:00 AM - 05:30 PM,0
Neptune Oyster,,63 Salem St,,,,$$$,4.3,https://www.yelp.com/biz/neptune-oyster-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 09:30 PM; Tuesday: 11:00 AM - 09:30 PM; Wednesday: 11:00 AM - 09:30 PM; Thursday: 11:00 AM - 09:30 PM; Friday: 11:00 AM - 10:30 PM; Saturday: 11:00 AM - 10:30 PM; Sunday: 11:00 AM - 09:30 PM,0
Earls Kitchen + Bar,,800 Boylston Ave,,,,$$,3.9,https://www.yelp.com/biz/earls-kitchen-bar-boston-2?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:30 AM - 11:00 PM; Tuesday: 11:30 AM - 11:00 PM; Wednesday: 11:30 AM - 12:00 AM; Thursday: 11:30 AM - 12:00 AM; Friday: 11:30 AM - 12:00 AM; Saturday: 12:00 AM - 01:00 AM; Saturday: 10:00 AM - 12:00 AM; Sunday: 12:00 AM - 01:00 AM; Sunday: 10:00 AM - 11:00 PM,0
The Salty Pig,,130 Dartmouth St,,,,$$,4.2,https://www.yelp.com/biz/the-salty-pig-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:30 AM - 10:00 PM; Tuesday: 11:30 AM - 10:00 PM; Wednesday: 11:30 AM - 10:00 PM; Thursday: 11:30 AM - 10:00 PM; Friday: 11:30 AM - 10:30 PM; Saturday: 11:30 AM - 10:30 PM; Sunday: 11:30 AM - 10:00 PM,0
Trattoria Il Panino,,11 Parmenter St,,,,$$,3.9,https://www.yelp.com/biz/trattoria-il-panino-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 11:00 PM; Tuesday: 11:00 AM - 11:00 PM; Wednesday: 11:00 AM - 11:00 PM; Thursday: 11:00 AM - 11:00 PM; Friday: 11:00 AM - 02:00 AM; Saturday: 11:00 AM - 02:00 AM; Sunday: 11:00 AM - 11:00 PM,0
Flour Bakery + Café,,12 Farnsworth St,,,,$$,4.3,https://www.yelp.com/biz/flour-bakery-caf%C3%A9-boston-4?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 07:00 AM - 07:00 PM; Tuesday: 07:00 AM - 07:00 PM; Wednesday: 07:00 AM - 07:00 PM; Thursday: 07:00 AM - 07:00 PM; Friday: 07:00 AM - 07:00 PM; Saturday: 08:00 AM - 06:00 PM; Sunday: 08:00 AM - 06:00 PM,0
Ma Maison,,272 Cambridge St,,,,$$,4.4,https://www.yelp.com/biz/ma-maison-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 10:00 PM; Tuesday: 11:00 AM - 10:00 PM; Wednesday: 11:00 AM - 10:00 PM; Thursday: 11:00 AM - 10:00 PM; Friday: 11:00 AM - 10:00 PM; Saturday: 11:00 AM - 10:00 PM; Sunday: 11:00 AM - 10:00 PM,0
Hobgoblin Bar,,48 Temple Pl,,,,,3.8,https://www.yelp.com/biz/hobgoblin-bar-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 03:00 PM - 12:00 AM; Tuesday: 03:00 PM - 12:00 AM; Wednesday: 03:00 PM - 12:00 AM; Thursday: 03:00 PM - 01:00 AM; Friday: 03:00 PM - 02:00 AM; Saturday: 03:00 PM - 02:00 AM; Sunday: 03:00 PM - 12:00 AM,0
Lily's Bar Pizza Patio,,33 Batterymarch St,,,,,4.5,https://www.yelp.com/biz/lilys-bar-pizza-patio-boston-3?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:30 AM - 10:00 PM; Tuesday: 11:30 AM - 10:00 PM; Wednesday: 11:30 AM - 10:00 PM; Thursday: 11:30 AM - 11:00 PM; Friday: 11:30 AM - 11:30 PM; Saturday: 05:00 PM - 11:30 PM,0
Pauli's,,65 Salem St,,,,$$,4.3,https://www.yelp.com/biz/paulis-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 08:00 AM - 09:00 PM; Tuesday: 08:00 AM - 09:00 PM; Wednesday: 08:00 AM - 09:00 PM; Thursday: 08:00 AM - 09:00 PM; Friday: 08:00 AM - 09:00 PM; Saturday: 08:00 AM - 09:00 PM; Sunday: 09:00 AM - 05:00 PM,0
